,Question,Answer,User_question,TF-IDF,BOW,Classifier
11,"
Как вернуть велосипед? 
","
Вставьте велосипед в любой свободный замок. Продвиньте велосипед как можно глубже в замок, до момента защелкивания блокиратора. Убедитесь, что велосипед заблокирован правильно. Внимание: в случае поломки велосипеда в процессе поездки необходимо связаться с службой технической поддержки по тел.: +7 495 956 82 86
",как вернуть велосипед?,"
Вставьте велосипед в любой свободный замок. Продвиньте велосипед как можно глубже в замок, до момента защелкивания блокиратора. Убедитесь, что велосипед заблокирован правильно. Внимание: в случае поломки велосипеда в процессе поездки необходимо связаться с службой технической поддержки по тел.: +7 495 956 82 86
","
Вставьте велосипед в любой свободный замок. Продвиньте велосипед как можно глубже в замок, до момента защелкивания блокиратора. Убедитесь, что велосипед заблокирован правильно. Внимание: в случае поломки велосипеда в процессе поездки необходимо связаться с службой технической поддержки по тел.: +7 495 956 82 86
","
Вставьте велосипед в любой свободный замок. Продвиньте велосипед как можно глубже в замок, до момента защелкивания блокиратора. Убедитесь, что велосипед заблокирован правильно. Внимание: в случае поломки велосипеда в процессе поездки необходимо связаться с службой технической поддержки по тел.: +7 495 956 82 86
"
12,"
Сколько стоит? 
","
Стоимость аренды отличается в зависимости от выбранного оператора, а также класса автомобиля и в среднем составляет 8-10 ₽ за минуту аренды и 2-4 ₽ за минуту в режиме ожидания.
",Сколько стоит?,"
Стоимость аренды отличается в зависимости от выбранного оператора, а также класса автомобиля и в среднем составляет 8-10 ₽ за минуту аренды и 2-4 ₽ за минуту в режиме ожидания.
","
Стоимость аренды отличается в зависимости от выбранного оператора, а также класса автомобиля и в среднем составляет 8-10 ₽ за минуту аренды и 2-4 ₽ за минуту в режиме ожидания.
","
Стоимость аренды отличается в зависимости от выбранного оператора, а также класса автомобиля и в среднем составляет 8-10 ₽ за минуту аренды и 2-4 ₽ за минуту в режиме ожидания.
"
13,"
На что будет влиять рейтинг водителя в системе? 
","
                                        Рейтинг водителя будет влиять на принятие решения работодателя при выборе кандидатуры на должность водителя, его общий рейтинг, а также комментарии (отзывы) других парков о данном водителе.
                                    ",на что влияет рейтинг водителя ?,"
                                        Рейтинг водителя будет влиять на принятие решения работодателя при выборе кандидатуры на должность водителя, его общий рейтинг, а также комментарии (отзывы) других парков о данном водителе.
                                    ","
                                        Рейтинг водителя будет влиять на принятие решения работодателя при выборе кандидатуры на должность водителя, его общий рейтинг, а также комментарии (отзывы) других парков о данном водителе.
                                    ","
                                        Рейтинг водителя будет влиять на принятие решения работодателя при выборе кандидатуры на должность водителя, его общий рейтинг, а также комментарии (отзывы) других парков о данном водителе.
                                    "
14,"
Какую информацию о водителях получат пассажиры из системы КИС АРТ? 
","
                                        Пассажиры не будут получать информацию о водителях.
                                    ",какую информацию о водителях получают пассажиры в системе КИС АРТ,"
                                        Пассажиры не будут получать информацию о водителях.
                                    ","
                                        Пассажиры не будут получать информацию о водителях.
                                    ","
                                        Пассажиры не будут получать информацию о водителях.
                                    "
15,"
Какая максимальная разрешенная скорость? 
","
                                        Для электросамокатов действует ограничение скорости до 25 км/ч на территории города, а также ограничение от 5 до 15 км/ч в «медленных зонах»
                                    ",какая максимальная скорость разрешена,"
                                        Для электросамокатов действует ограничение скорости до 25 км/ч на территории города, а также ограничение от 5 до 15 км/ч в «медленных зонах»
                                    ","
                                        Для электросамокатов действует ограничение скорости до 25 км/ч на территории города, а также ограничение от 5 до 15 км/ч в «медленных зонах»
                                    ","
                                        Для электросамокатов действует ограничение скорости до 25 км/ч на территории города, а также ограничение от 5 до 15 км/ч в «медленных зонах»
                                    "
16,"
Сколько водителей, транспортных средств и точек разгрузки/погрузки может быть в одной заявке? Есть ли ограничения? 
","
                                        Ограничений по количеству водителей, транспортных средств и точек разгрузки/погрузки нет. Существует только портальное ограничение по объему прилагаемых документов  максимальный размер одного файла не может превышать 85 Мб.
                                    ","сколько в одной заявке может быть водителей, трансопртных средств и точек разгрузки. какие есть ограничения?","
                                        Ограничений по количеству водителей, транспортных средств и точек разгрузки/погрузки нет. Существует только портальное ограничение по объему прилагаемых документов  максимальный размер одного файла не может превышать 85 Мб.
                                    ","
                                        Ограничений по количеству водителей, транспортных средств и точек разгрузки/погрузки нет. Существует только портальное ограничение по объему прилагаемых документов  максимальный размер одного файла не может превышать 85 Мб.
                                    ","
                                        Ограничений по количеству водителей, транспортных средств и точек разгрузки/погрузки нет. Существует только портальное ограничение по объему прилагаемых документов  максимальный размер одного файла не может превышать 85 Мб.
                                    "
17,"
Если перевозка осуществляется собственным транспортом в 96 собственных магазинов. Какие документы подавать? 
","
                                        Заявитель из числа юридических лиц и индивидуальных предпринимателей вправе представить иные документы, подтверждающие необходимость осуществления грузовых перевозок, по собственной инициативе  любые документы подтверждающие необходимость осуществления перевозок в зоне ограничения: правоустанавливающие документы, подтверждающие осуществление заявленной деятельности; договоры собственности или аренды торговых, складских, производственных площадей; договоры с поставщиками и т.д.
                                    ","какие документы подавать, если перевозка осуществляется собственным транспортом в 96 собственных магазинов","
                                        Заявитель из числа юридических лиц и индивидуальных предпринимателей вправе представить иные документы, подтверждающие необходимость осуществления грузовых перевозок, по собственной инициативе  любые документы подтверждающие необходимость осуществления перевозок в зоне ограничения: правоустанавливающие документы, подтверждающие осуществление заявленной деятельности; договоры собственности или аренды торговых, складских, производственных площадей; договоры с поставщиками и т.д.
                                    ","
                                        Заявитель из числа юридических лиц и индивидуальных предпринимателей вправе представить иные документы, подтверждающие необходимость осуществления грузовых перевозок, по собственной инициативе  любые документы подтверждающие необходимость осуществления перевозок в зоне ограничения: правоустанавливающие документы, подтверждающие осуществление заявленной деятельности; договоры собственности или аренды торговых, складских, производственных площадей; договоры с поставщиками и т.д.
                                    ","
                                        Заявитель из числа юридических лиц и индивидуальных предпринимателей вправе представить иные документы, подтверждающие необходимость осуществления грузовых перевозок, по собственной инициативе  любые документы подтверждающие необходимость осуществления перевозок в зоне ограничения: правоустанавливающие документы, подтверждающие осуществление заявленной деятельности; договоры собственности или аренды торговых, складских, производственных площадей; договоры с поставщиками и т.д.
                                    "
19,"
Из-за чего аннулируют пропуска? 
","
Основными причинами является:

лишение права управления транспортным средством заявителя, либо водителя, указанного в запросе;
выявлением случаев систематического (более двух раз) нарушения ПДД РФ (не зависит от своевременности оплаты соответствующих штрафов);
наличие у владельца либо водителя не погашенной задолженности по оплате штрафа за несоблюдение требований, предписанных дорожными знаками, запрещающими движение грузовых автотранспортных средств;
неуведомление заявителем из числа юридических лиц или индивидуальных предпринимателей Ространснадзора о начале осуществления деятельности по предоставлению услуг по перевозкам грузов автомобильным транспортом;
прекращение деятельности (ликвидация) лица, подавшего запрос о предоставлении государственных услуг, или контрагентов, указанных в приложенных к запросу договорах, подтверждающих необходимость осуществления грузовой перевозки;
выявление фактов представления заявителем для предоставления государственных услуг документов, содержащих заведомо недостоверные сведения;
выявление фактов отклонения грузового автотранспортного средства от маршрутов движения, несоблюдения периодичности или объема перевозок, заявленных в запросе о предоставлении государственных услуг;
получение от УГИБДД ГУ МВД России по г. Москве сведений об изменении государственного регистрационного знака или собственника грузового автотранспортного средства.

",из-за чего могут аннулировать пропуск?,"
Основными причинами является:

лишение права управления транспортным средством заявителя, либо водителя, указанного в запросе;
выявлением случаев систематического (более двух раз) нарушения ПДД РФ (не зависит от своевременности оплаты соответствующих штрафов);
наличие у владельца либо водителя не погашенной задолженности по оплате штрафа за несоблюдение требований, предписанных дорожными знаками, запрещающими движение грузовых автотранспортных средств;
неуведомление заявителем из числа юридических лиц или индивидуальных предпринимателей Ространснадзора о начале осуществления деятельности по предоставлению услуг по перевозкам грузов автомобильным транспортом;
прекращение деятельности (ликвидация) лица, подавшего запрос о предоставлении государственных услуг, или контрагентов, указанных в приложенных к запросу договорах, подтверждающих необходимость осуществления грузовой перевозки;
выявление фактов представления заявителем для предоставления государственных услуг документов, содержащих заведомо недостоверные сведения;
выявление фактов отклонения грузового автотранспортного средства от маршрутов движения, несоблюдения периодичности или объема перевозок, заявленных в запросе о предоставлении государственных услуг;
получение от УГИБДД ГУ МВД России по г. Москве сведений об изменении государственного регистрационного знака или собственника грузового автотранспортного средства.

","
Основными причинами является:

лишение права управления транспортным средством заявителя, либо водителя, указанного в запросе;
выявлением случаев систематического (более двух раз) нарушения ПДД РФ (не зависит от своевременности оплаты соответствующих штрафов);
наличие у владельца либо водителя не погашенной задолженности по оплате штрафа за несоблюдение требований, предписанных дорожными знаками, запрещающими движение грузовых автотранспортных средств;
неуведомление заявителем из числа юридических лиц или индивидуальных предпринимателей Ространснадзора о начале осуществления деятельности по предоставлению услуг по перевозкам грузов автомобильным транспортом;
прекращение деятельности (ликвидация) лица, подавшего запрос о предоставлении государственных услуг, или контрагентов, указанных в приложенных к запросу договорах, подтверждающих необходимость осуществления грузовой перевозки;
выявление фактов представления заявителем для предоставления государственных услуг документов, содержащих заведомо недостоверные сведения;
выявление фактов отклонения грузового автотранспортного средства от маршрутов движения, несоблюдения периодичности или объема перевозок, заявленных в запросе о предоставлении государственных услуг;
получение от УГИБДД ГУ МВД России по г. Москве сведений об изменении государственного регистрационного знака или собственника грузового автотранспортного средства.

","
Основными причинами является:

лишение права управления транспортным средством заявителя, либо водителя, указанного в запросе;
выявлением случаев систематического (более двух раз) нарушения ПДД РФ (не зависит от своевременности оплаты соответствующих штрафов);
наличие у владельца либо водителя не погашенной задолженности по оплате штрафа за несоблюдение требований, предписанных дорожными знаками, запрещающими движение грузовых автотранспортных средств;
неуведомление заявителем из числа юридических лиц или индивидуальных предпринимателей Ространснадзора о начале осуществления деятельности по предоставлению услуг по перевозкам грузов автомобильным транспортом;
прекращение деятельности (ликвидация) лица, подавшего запрос о предоставлении государственных услуг, или контрагентов, указанных в приложенных к запросу договорах, подтверждающих необходимость осуществления грузовой перевозки;
выявление фактов представления заявителем для предоставления государственных услуг документов, содержащих заведомо недостоверные сведения;
выявление фактов отклонения грузового автотранспортного средства от маршрутов движения, несоблюдения периодичности или объема перевозок, заявленных в запросе о предоставлении государственных услуг;
получение от УГИБДД ГУ МВД России по г. Москве сведений об изменении государственного регистрационного знака или собственника грузового автотранспортного средства.

"
20,"
Являемся крупным международным перевозчиком. Маршруты длинные. Как можно оформить годовой пропуск, если не успевает машина зайти 4 раза в месяц? 
","
                                        Для осуществления грузовых перевозок автотранспортными средствами, на которые распространяется действие международных договоров, Постановлением № 379-ПП предусмотрено предоставление только государственной услуги «Внесение в Реестр действующих пропусков, предоставляющих право на въезд и передвижение грузового автотранспорта в зонах ограничения его движения в городе Москве, сведений об оформленных разовых пропусках».
                                    ","как оформить годовой пропуск, если машина не успевает зайти 4 раза в месяц?","
                                        Для осуществления грузовых перевозок автотранспортными средствами, на которые распространяется действие международных договоров, Постановлением № 379-ПП предусмотрено предоставление только государственной услуги «Внесение в Реестр действующих пропусков, предоставляющих право на въезд и передвижение грузового автотранспорта в зонах ограничения его движения в городе Москве, сведений об оформленных разовых пропусках».
                                    ","
                                        Для осуществления грузовых перевозок автотранспортными средствами, на которые распространяется действие международных договоров, Постановлением № 379-ПП предусмотрено предоставление только государственной услуги «Внесение в Реестр действующих пропусков, предоставляющих право на въезд и передвижение грузового автотранспорта в зонах ограничения его движения в городе Москве, сведений об оформленных разовых пропусках».
                                    ","
                                        Для осуществления грузовых перевозок автотранспортными средствами, на которые распространяется действие международных договоров, Постановлением № 379-ПП предусмотрено предоставление только государственной услуги «Внесение в Реестр действующих пропусков, предоставляющих право на въезд и передвижение грузового автотранспорта в зонах ограничения его движения в городе Москве, сведений об оформленных разовых пропусках».
                                    "
22,"
Если в пропуске прописаны маршруты с несколькими адресами выгрузки, обязательно ли при въезде в Москву следовать полному маршруту? 
","
                                        Движение транспортного средства должно осуществляться в соответствии с информацией, указанной в договоре перевозки (маршруты, периодичность, объемы). Отклонение от маршрутов, несоблюдения периодичности или объема перевозок, заявленных в запросе, является основанием для аннулирования пропуска.
                                    ","Обязательно ли следовать полному маршруту при въезде в москву, если прописаны маршруты с несколькими адресами","
                                        Движение транспортного средства должно осуществляться в соответствии с информацией, указанной в договоре перевозки (маршруты, периодичность, объемы). Отклонение от маршрутов, несоблюдения периодичности или объема перевозок, заявленных в запросе, является основанием для аннулирования пропуска.
                                    ","
                                        Движение транспортного средства должно осуществляться в соответствии с информацией, указанной в договоре перевозки (маршруты, периодичность, объемы). Отклонение от маршрутов, несоблюдения периодичности или объема перевозок, заявленных в запросе, является основанием для аннулирования пропуска.
                                    ","
                                        Движение транспортного средства должно осуществляться в соответствии с информацией, указанной в договоре перевозки (маршруты, периодичность, объемы). Отклонение от маршрутов, несоблюдения периодичности или объема перевозок, заявленных в запросе, является основанием для аннулирования пропуска.
                                    "
23,"
Почему проект назвали «Московские центральные диаметры»? 
","
                                        Название проекта «Московские центральные диаметры» (МЦД) было определено в рамках единой концепции наземного железнодорожного транспорта и по аналогии с проектом «Московское центральное кольцо» (МЦК). На МЦД реализованы все пассажирские сервисы и услуги, которые доступны пассажирам МЦК и столичного метрополитена. В том числе разработаны единые билетная и навигационная системы. Кроме того, по МЦД курсируют новые современные поезда «Иволга», по качеству перевозок и уровню сервиса не уступающие поездам метрополитена и Московского центрального кольца. Аббревиатура «МЦД» отражает в себе особенности диаметрального движения нового вида городского транспорта, она была выбрана совместным решением Правительства Москвы, Правительства Московской области и ОАО «РЖД».
                                    ",почему проект назван московские центральные диаметры?,"
                                        Название проекта «Московские центральные диаметры» (МЦД) было определено в рамках единой концепции наземного железнодорожного транспорта и по аналогии с проектом «Московское центральное кольцо» (МЦК). На МЦД реализованы все пассажирские сервисы и услуги, которые доступны пассажирам МЦК и столичного метрополитена. В том числе разработаны единые билетная и навигационная системы. Кроме того, по МЦД курсируют новые современные поезда «Иволга», по качеству перевозок и уровню сервиса не уступающие поездам метрополитена и Московского центрального кольца. Аббревиатура «МЦД» отражает в себе особенности диаметрального движения нового вида городского транспорта, она была выбрана совместным решением Правительства Москвы, Правительства Московской области и ОАО «РЖД».
                                    ","
                                        Название проекта «Московские центральные диаметры» (МЦД) было определено в рамках единой концепции наземного железнодорожного транспорта и по аналогии с проектом «Московское центральное кольцо» (МЦК). На МЦД реализованы все пассажирские сервисы и услуги, которые доступны пассажирам МЦК и столичного метрополитена. В том числе разработаны единые билетная и навигационная системы. Кроме того, по МЦД курсируют новые современные поезда «Иволга», по качеству перевозок и уровню сервиса не уступающие поездам метрополитена и Московского центрального кольца. Аббревиатура «МЦД» отражает в себе особенности диаметрального движения нового вида городского транспорта, она была выбрана совместным решением Правительства Москвы, Правительства Московской области и ОАО «РЖД».
                                    ","
                                        Название проекта «Московские центральные диаметры» (МЦД) было определено в рамках единой концепции наземного железнодорожного транспорта и по аналогии с проектом «Московское центральное кольцо» (МЦК). На МЦД реализованы все пассажирские сервисы и услуги, которые доступны пассажирам МЦК и столичного метрополитена. В том числе разработаны единые билетная и навигационная системы. Кроме того, по МЦД курсируют новые современные поезда «Иволга», по качеству перевозок и уровню сервиса не уступающие поездам метрополитена и Московского центрального кольца. Аббревиатура «МЦД» отражает в себе особенности диаметрального движения нового вида городского транспорта, она была выбрана совместным решением Правительства Москвы, Правительства Московской области и ОАО «РЖД».
                                    "
24,"
Как на транспорте борются с вирусными заболеваниями? 
","
Транспорт регулярно проходит санитарные обработки, дополнительно проводится дезинфекция, чтобы он был максимально безопасным в период распространения вирусных заболеваний.
Более подробно о том как транспорт Москвы защищают от вирусов можно узнать тут: https://i.transport.mos.ru/profilaktika
",Как в транспорте борятся с вирусными заболеваниями?,"
Транспорт регулярно проходит санитарные обработки, дополнительно проводится дезинфекция, чтобы он был максимально безопасным в период распространения вирусных заболеваний.
Более подробно о том как транспорт Москвы защищают от вирусов можно узнать тут: https://i.transport.mos.ru/profilaktika
","
Транспорт регулярно проходит санитарные обработки, дополнительно проводится дезинфекция, чтобы он был максимально безопасным в период распространения вирусных заболеваний.
Более подробно о том как транспорт Москвы защищают от вирусов можно узнать тут: https://i.transport.mos.ru/profilaktika
","
Транспорт регулярно проходит санитарные обработки, дополнительно проводится дезинфекция, чтобы он был максимально безопасным в период распространения вирусных заболеваний.
Более подробно о том как транспорт Москвы защищают от вирусов можно узнать тут: https://i.transport.mos.ru/profilaktika
"
