Question,Answer
"
Можно ли осуществлять фотосъёмку на территории метрополитена? Как получить официальное разрешение на фотосъемку и сколько это стоит? 
","
Фотосъёмка без использования штатива, осветительных приборов и другого стационарного оборудования в Московском метрополитене не запрещена и разрешение, соответственно, не требуется.
При проведении фотосъёмки запрещено находиться на пути пассажирских потоков, заходить за ограничительную линию на платформе, использовать фотовспышку при съёмке подвижного состава во избежание ослепления машиниста. Фотограф должен беспрекословно выполнять указания работников метрополитена и полиции.
Для проведения съёмки с использованием стационарного оборудования требуется письменное разрешение администрации ГУП «Московский метрополитен». Для его оформления необходимо направить письмо на почту info@mosmetro.ru и/или pressa@mosmetro.ru на имя начальника Московского метрополитена Козловского Виктора Николаевича с указанием цели съёмок, даты, времени и места проведения съёмок (станции), используемого оборудования и ответственного лица от съёмочной группы.
Фотосъёмка с использованием стационарного оборудования на территории метрополитена осуществляется на договорной основе.
"
"
Какие права и обязанности есть у контролеров, работающих на маршрутах наземного транспорта? 
","
Контролер ГУП «Мосгортранс» работает в салонах автобусов, троллейбусов, трамваев только тех маршрутов, которые указаны в его наряде-задании. При этом контроль на линии проводится в течение всего времени работы наземного городского пассажирского транспорта.
Контролер ГУП «Мосгортранс» имеет право:

требовать предъявления (передача в руки) проездных документов у пассажиров, путевых листов у водителей, билетно-учетных листов у кондукторов и водителей маршрутов коммерческих перевозчиков и ГУП «Мосгортранс»;
обязать пассажира при выявлении безбилетного проезда и (или) провоза ручной клади приобрести у него (контролера) или водителя данного транспортного средства посадочный талон в соответствии с действующим тарифом (право реализации посадочных талонов по установленному тарифу контролерам предоставлено в соответствии с постановлением Правительства Москвы от 07.12.2012 № 706 «О проездных билетах на наземном городском пассажирском транспорте общего пользования города Москвы, Московском метрополитене и Московской монорельсовой транспортной системе»);
при предъявлении для подтверждения оплаты проезда контролеру во время проведения проверки нелегитимных (поддельных) проездных документов, в том числе социальных карт москвичей (СКМ) или социальных карт жителей Московской области (СКМО), а также именных студенческих проездных билетов, не принадлежащих лицам, их предъявившим, контролер имеет право на изъятие предъявляемых документов. Изъятие билета (документа) оформляется актом установленной формы, один экземпляр которого выдается пассажиру, предъявившему указанный билет (документ);
тестировать проходы пассажиров по магнитному проездному билету с распечаткой результатов тестирования с использованием технического билета № 115 в случае возникновения конфликтных ситуаций с пассажирами;
требовать от пассажиров неукоснительного соблюдения действующих Правил пользования наземным городским транспортом общего пользования (трамваями, троллейбусами, автобусами) в городе Москве;
в случае если пассажир, нарушивший Правила пользования наземным городским транспортом общего пользования (трамваями, троллейбусами, автобусами) в городе Москве, отказывается оплатить проезд и (или) провоз багажа (ручной клади), контролер вправе потребовать от пассажира покинуть салон транспортного средства на ближайшем остановочном пункте;
доставить пассажира в органы внутренних дел в случае угрозы расправы и (или) применения физической силы в отношении контролера во время исполнения им служебных обязанностей;
при возникновении угрозы жизни и здоровью применить адекватные меры защиты в пределах допустимой самообороны.


Контролеру ГУП «Мосгортранс» категорически запрещено:

осуществлять контроль на маршрутах с нарушением формы одежды, без служебного удостоверения, БСК контролера и наряда-задания;
взыскивать штраф с граждан, допустивших нарушения административного законодательства РФ и города Москвы, Правил пользования наземным городским транспортом общего пользования (трамваями, троллейбусами, автобусами) в городе Москве. Функции по взысканию штрафов возложены на ГКУ «Организатор перевозок»;
задерживать подвижной состав;
осуществлять контроль на маршрутах, не указанных в наряде-задании, выданном ОБК филиала;
осуществлять контроль на маршрутах в нерабочее время, в том числе во время очередного ежегодного отпуска и нахождения на больничном листе;
осуществлять контроль на маршрутах других эксплуатационных филиалов;
изымать у пассажиров легитимные проездные документы, в том числе СКМ и социальные карты жителей Московской области, а также студенческие именные проездные билеты, им принадлежащие.
изымать у пассажира, который во время осуществления проверки по правильности оплаты проезда предъявил нелегитимный (поддельный) проездной документ, в том числе социальную карту москвича или социальную карту жителя Московской области, а также именной студенческий проездной билет, ему не принадлежащие, без составления и выдачи первого экземпляра акта установленной формы.

"
"
Нужно ли повторно оплачивать проезд в случае возникновения технической неисправности подвижного состава? 
","
В случае возникновения технической неисправности подвижного состава или вследствие ДТП пассажир имеет право проезжать без дополнительной оплаты проезда в следующем за сошедшим с линии по неисправности автобусе, троллейбусе, трамвае при наличии проездного билета, погашенного в неисправном транспортном средстве.
Пересадка осуществляется в следующий за неисправным транспортным средством автобус, троллейбус или трамвай ГУП «Мосгортранс» того же маршрута либо других маршрутов, следующих в попутном направлении.
Обращаем ваше внимание, что пересадку пассажиров без дополнительной оплаты проезда организует водитель неисправного транспортного средства.
"
"
Каков порядок действий контролера ГУП «Мосгортранс» при проверке? 
","
По первому требованию пассажиров контролер обязан предъявить для ознакомления служебное удостоверение и назвать свою фамилию.
Контролер должен проявлять выдержку, тактичность и культуру в общении с пассажирами, водителями, кондукторами.
Проверка наличия проездных документов у пассажиров, их подлинности и срока действия осуществляется с использованием технических средств объективного контроля (переносное устройство контроля; магнитные технические тестирующие билеты).
"
"
Какая ответственность существует у перевозчика перед пассажиром в случае причинения вреда жизни, здоровью, имуществу пассажиров по вине перевозчика? 
","
 Об обязательном страховании гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров и о порядке возмещения такого вреда, причиненного при перевозках пассажиров метрополитеном» перевозчик обязан предоставлять пассажирам информацию о страховщике (его наименование, место нахождения, почтовый адрес, номер телефона) и договоре обязательного страхования (номер, дата заключения, срок действия) путем размещения этой информации во всех местах продажи билетов или на билете либо на своем официальном сайте в информационно-телекоммуникационной сети «Интернет».
 



Вид транспорта и вид перевозок
Страховая компания
Номер договора
Дата заключения
Срок действия




Автомобильный транспорт - автобусные перевозки в междугородном и международном сообщении
АО «СОГАЗ»
GAZX21655985018000
09.09.2016
11.09.2016–10.09.2017


Автомобильный транспорт - автобусные перевозки в пригородном сообщении
АО «СОГАЗ»
GAZX21655985018000
09.09.2016
11.09.2016–10.09.2017


Автомобильный транспорт - автобусные перевозки в городском сообщении по заказам
АО «СОГАЗ»
GAZX21655985018000
09.09.2016
11.09.2016–10.09.2017


Автомобильный транспорт - автобусные регулярные перевозки в городском сообщении с посадкой и высадкой пассажиров только в установленных остановочных пунктах по маршруту регулярных перевозок
АО «СОГАЗ»
GAZX21655985018000
09.09.2016
11.09.2016–10.09.2017


Городской наземный электрический транспорт - перевозки троллейбусами
АО «СОГАЗ»
GAZX21655985018000
09.09.2016
11.09.2016–10.09.2017


Городской наземный электрический транспорт - перевозки трамваями
АО «СОГАЗ»
GAZX21655985018000
09.09.2016
11.09.2016–10.09.2017



 
Контакты страховой компании:
ОАО «СОГАЗ»
107078, Москва, пр-т Академика Сахарова, д. 10
8-800-333-0-888 (круглосуточно, звонок бесплатный)
e-mail: sogaz@sogaz.ru
ww.sogaz.ru
"
"
Какие категории граждан имеют право на бесплатный проезд в московском наземном городском пассажирском транспорте? 
","
Льготные категории граждан Москвы и Московской области осуществляют проход в салон подвижного состава ГУП «Мосгортранс» с помощью социальной карты москвича. Право на бесплатный проезд в московском наземном городском пассажирском транспорте имеют:
1.  Герои Советского Союза, Герои Российской Федерации, Герои Социалистического Труда и полные кавалеры орденов Славы и Трудовой Славы трех степеней, не являющиеся жителями Москвы и Московской области.
2.  Дети до 7 лет.
3.  Пассажиры (инвалиды) после проверки водителем документа, подтверждающего право на льготу (копия справки бюро медико-социальной экспертизы (ВТЭК), подтверждающей соответствующую группу (степень нетрудоспособности), возраст ребенка-инвалида), а также сопровождающий инвалида. 
4.  Члены Московской народной дружины по предъявлению проездного документа дружинника Московской городской дружины.
5.  Москвичи, подавшие документы на оформление социальной карты москвича, осуществляющие проезд по временному единому социальному билету, который выдается в районных управлениях социальной защиты населения города Москвы на период изготовления социальной карты москвича.
В случае если житель города Москвы, имеющий право бесплатного проезда, не получил социальной карты москвича или временного единого социального билета, он может реализовать свое право на бесплатный проезд, получив билет сроком действия 3 дня, который выдается в пунктах реализации билетов при предъявлении паспорта с регистрацией в городе Москве и документов, подтверждающих право на льготу.
Жители города Москвы, не получившие социальную карту москвича, должны обратиться в районные управления социальной защиты населения города Москвы для ее оформления. Подробная информация о порядке оформления социальной карты приведена на интернет-сайте ГУП «Московский социальный регистр».
"
"
Что такое мобильный билет и как им пользоваться? 
","

Сервис «Мобильный билет» позволяет оплачивать проезд на всех видах транспорта города Москвы (наземный городской пассажирский транспорт, метрополитен и «Аэроэкспресс») стоимость проезда составляет по аналогии с билетом «Электронный кошелек» на транспортной карте «Тройка», подробную информацию можно узнать на  сайте. Пополнение транспортного приложения, размещенного на NFC SIM-карте, происходит путем перевода средств со счета мобильного телефона на транспортное приложение. Оплата проезда осуществляется одним касанием телефона к валидатору транспортного оператора.
Сервис «Мобильный билет» доступен Абонентам, физическим лицам, с предоплатной системой расчетов, заключившим договор на оказание услуг связи с оператором сотовой связи.
Чтобы воспользоваться сервисом, необходимо:


мобильный телефон, с поддержкой технологии NFC*;
NFC* SIM-карта с подключенным  сервисом «Мобильный билет»;
доступность услуги «Мобильные платежи».
NFC (Near field communication) – технология беспроводной высокочастотной связи малого радиуса действия, которая дает возможность обмена данными между устройствами, находящимися на расстоянии около 10 сантиметров.

 
Стоимость подключения сервиса
Плата за подключение сервиса и плата за обмен действующих SIM-карт на SIM-карты с технологией NFC не взимается.
СМС-сообщения на номер управления сервисом 3210 на территории действия сети оператора сотовой связи не тарифицируются.
За пределами действия сети оператора сотовой связи сервис не предоставляется.
 
Подключение сервиса
Для того, чтобы подключить, сервис необходимо:

Мобильный телефон с поддержкой технологии NFC. Включите NFC в разделе Настройки ⇒ Дополнительные настройки ⇒ NFC;
Специальная NFC SIM-карта с подключенным сервисом «Мобильный билет». Бесплатно получить/обменять SIM-карту, поддерживающую «Мобильный билет», можно в салонах связи сотовых операторов;  
После установки NFC SIM-карты в телефон и регистрации в сети сотовых операторов, придёт СМС-запрос с офертой на подключение сервиса.   
Для активации сервиса необходимо отправить цифру «1» в ответном СМС-сообщении.

При подключении сервиса:

Активируется автоматическое пополнение баланса сервиса.
Со счета мобильного телефона автоматически будут списаны 150 рублей, которые пополнят баланс сервиса «Мобильный билет». Эти средства могут быть использованы только для оплаты проезда на общественном транспорте Москвы. 
Если баланс оказывается ниже порогового значения в 90 рублей, система автоматически пополняет его до 160 рублей. Для отключения услуги автоматического пополнения баланса сервиса необходимо отправить СМС на номер 3210 с текстом «выкл».

Обо всех операциях пополнения баланса сервиса «Мобильный билет» Клиент будет уведомлен посредством бесплатных СМС-сообщений c номера 3210.
 
Отключение сервиса
* Для отказа от активации необходимо отправить «0» на номер 3210;
* Для приостановления использования сервиса через SIM-меню в разделе «Мобильный билет» ⇒ нажать «Выключить».
Денежные средства «Мобильного билета» сохраняются, ими можно воспользоваться, после включения сервиса – SIM-меню в разделе «Мобильный билет» ⇒ «Включить» (пункт меню доступен после выключения сервиса).
При замене SIM-карты сервис «Мобильный билет» может быть недоступен в течение суток. 
"
"
Как теперь можно оплатить проезд в общественном транспорте? 
","
С 9 июня оплата проезда в общественном городском транспорте осуществляется всеми ранее доступными способами. На турникетах мосметро возобновилась возможность оплаты банковской картой. Свои транспортные карты больше не нужно привязывать к цифровым пропускам. Продажа бумажных билетов возобновлена.
При этом мы продолжаем просить Вас пользоваться безналичными способами оплаты.
"
"
С какого числа я смогу продлить свой билет? 
","
Возможность продления доступна с 12 июня. При компенсации неиспользованных билетов будет учитываться также поэтапность снятия ограничений. Это связано с тем, что часть горожан начали пользоваться общественным транспортом с 12 мая, когда возобновилась деятельность промышленных и строительных компаний.
Пока время окончания возможности продления не ограничено. Поэтому мы просим Вас не торопиться с продлением, и если Вы не планируете поездок на транспорте в ближайшие дни, воспользуйтесь услугой позднее. Благодаря этому снизится нагрузка на кассы мосметро и МосГорТранс.
"
"
Где я могу продлить действие своих билетов? 
","
Для записи дополнительных дней для билетов «Единый» на 60 поездок, на 30 дней, 90 дней, 365 дней можно обратиться в кассу метро, а для записи билетов ТАТ — в киоски Мосгортранса.
Также владельцы смартфонов на базе Android с NFC смогут продлить проездные онлайн с помощью мобильного приложения «Метро Москвы»
Школьники, студенты, ординаторы и аспиранты также смогут перезаписать все не потраченные во время самоизоляции билеты на социальные карты. Это можно будет сделать при обращении в кассу метро или киоск «Мосгортранса».
"
"
Можно ли продлить проездные онлайн? 
","
Да. Владельцы смартфонов на базе Android с NFC смогут продлить проездные онлайн с помощью мобильного приложения «Метро Москвы».
Предварительно проверить доступность компенсации могут те пассажиры, кто пользуется мобильными устройствами на операционных системах как Android, так и iOS. Эту информацию также можно получить в мессенджере Телеграм с помощью бота @MosCardCheckBot и на Едином транспортном портале.
"
"
При каком условии будет продлен мой проездной? 
","
Проездные будут продлены тем пассажирам, которые совершили в период режима повышенной готовности с 30 марта по 8 июня (включительно) не более 22 поездок. Если это количество поездок было превышено, но при этом с 30 марта по 11 мая (включительно) было совершено не более 8 поездок, услуга также будет оказана. 
Это связано с тем, что часть горожан начала пользоваться общественным транспортом с 12 мая, когда возобновилась деятельность промышленных и строительных компаний. 
"
"
Чем «Автоплатеж» может быть мне полезен? 
","
С помощью услуги «Автоплатеж» можно подключить автоматическое пополнение баланса, как для своей транспортной карты «Тройка», так и для карт своих друзей и близких. Средства будут списываться с банковской карты, подключенной к услуге.
"
"
Стоимость подключения услуги «Автоплатеж»? 
","
Подключение услуги бесплатно, абонентская плата не взимается.
"
"
Как подключить услугу «Автоплатеж»? 
","
Подключить услугу «Автоплатеж» можно с сайта карты «Тройка» после пополнения баланса транспортной карты «Тройка» с помощью банковской карты, нажав на кнопку «Автоплатеж»:

Получить на свой номер телефона сессионный пароль и авторизоваться на сайте «Автоплатеж»;
Перейти на вкладку «Новый автоплатеж»
Задать удобные параметры услуги (сумму платежа; дату первого платежа; время платежа (по умолчанию время будет указано 06:00, можно указать время с точностью до часа);
Подключить к сервису банковскую карту, с которой будут списываться средства.

Убедиться, что услуга подключилась, можно в разделе «Мои автоплатежи».
Внимание! Банковская карта должна поддерживать технологию 3D Secure.
Каждое новое подключение услуги «Автоплатеж» будет сопровождаться проверкой по технологии 3D Secure. Уточнить, поддерживает ли твоя карта технологию 3D Secure, можно в банке, выдавшем карту.
"
