Question,Answer
Кто такой тьютор?,"Тьютор — это сотрудник учебного подразделения, основными задачами которого являются: помощь студентам в выборе образовательных траекторий, организация всего учебного процесса на факультете, институте или академии, контроль исполнения нормативных положений университета, касающихся обучения и воспитания студента."
Где я могу узнать расписание занятий?,"Расписание можно узнать на официальном сайте в разделе «Расписание занятий» , в мобильном приложении РУДН и на информационных стендах учебных подразделений.
Расписание занятий составляется на один учебный период – семестр или модуль. В начале учебного периода расписание может корректироваться. Внимательно следите за обновлениями!
"
"Какие документы должны быть у студента РУДН? Какие из них остаются на руках у студента, а какие хранятся на кафедре?","В целях обеспечения сохранности документов долговременного срока хранения и упорядочения документов по личному составу обучающихся, доктарантов, прикрепленных и работников РУДН Приказом Ректора № 509 от 13.06.2017 утвержден «Порядок формирования личных дел».
Личное дело — совокупность документов, содержащих персональные данные и иные сведения, связанные с учебной или трудовой деятельностью.
Личное дело студента формируется при зачислении студента в Университет и содержит следующие документы:

копия паспорта и аттестата (документ о среднем/высшем образовании);
справка о состоянии здоровья;
личная карточка студента;
приказ о зачислении (переводе) в Университет.

В процессе обучения личное дело обучающегося пополняется сведениями об успеваемости (оценки заносят в учебную карточку), характеристикой с места практики, выписками из приказов, где фигурирует фамилия студента (перевод с курса на курс, отчисление, восстановление, академический отпуск, допуск к госэкзаменам, защите диплома, тем ВКР и т.д.). Также если во время учебы студент сменил фамилию, сменил семейное положение, отслужил в армии — подтверждающие документы вносятся в личное дело студента. Срок хранения личных дел студентов, отчисленных с 1 — 3 курсов — 15 лет, остальных студентов и аспирантов — 75 лет.
Студентам выдается студенческий билет, зачетная книжка, пропуск, также студент имеет право оформить социальную карту. Эти документы хранятся у студента в период обучения. По окончанию обучения или после отчисления они сдаются в деканат и в дальнейшем передаются в архив.
"
Кто такой куратор? ,"Куратором учебной группы назначается распоряжением декана факультета (директора института/академии) наиболее опытный преподаватель кафедры сроком на один учебный год (Положение о кураторе учебной группы в РУДН утверждено Приказом Ректора № 376 от 19.04.2012). Куратором учебных групп могут быть назначены студенты старших курсов.
Куратор обязан:

Осуществлять контроль за успеваемостью и учебной дисциплиной студентов курируемой учебной группы;
Поддерживать связь с преподавателями, ведущими занятия в учебной группе, организовывать необходимую академическую помощь слабоуспевающим студентам;
Информировать и разъяснять студентам «Правила внутреннего распорядка обучающихся в РУДН», знакомить с нормативными документами РУДН;
Организовать и лично участвовать в собраниях учебной группы, участвовать во внеучебных мероприятиях, организуемых и проводимых группой;
Участвовать в подборе и назначении старосты учебной группы.
"
Как стать куратором? ,"Для того, чтобы стать куратором первого курса обучающемуся необходимо обратиться в студенческий комитет своего основного учебного подразделения (ОУП) или в деканат/дирекцию ОУП с письменным заявлением и пройти собеседование в студенческом комитете ОУП."
Как стать старостой?,"Старосты учебных групп выбираются путем голосования студентов, староста курса (потока) назначается из числа старост учебных групп, наиболее успевающих и ответственных студентов, пользующихся доверием и авторитетом на курсе (потоке). Назначение старосты курса (потока) производится ежегодно сроком на один учебный год распоряжением дирекции ОУП по представлению заместителя декана/директора по учебной работе (Приказ Ректора № 259 от 01.04.2011 «Положение о старостах учебных групп и курсов (потоков) РУДН»).
Староста учебной группы обязан

Оказывать помощь деканату и студенческому комитету факультета (института/академии) в организации учебно-воспитательной работы со студентами своей учебной группы.
Совместно с преподавателями кафедр, тьюторами по учебной и воспитательной работе организовывать работу по повышению успеваемости и учебной дисциплины студентов учебной группы.
Знакомить студентов учебной группы с нормативными документами, касающимися учебных, внеучебных и дисциплинарных вопросов.
Осуществлять контроль за посещаемостью занятий студентами учебной группы, вести (заполнять) журнал посещаемости занятий.
Ежедневно после окончания занятий возвращать журнал учета посещения студентами занятий в деканат факультета.
Совместно с преподавателями кафедр и тьюторами факультета (института/академии) организовывать помощь студентам, испытывающим трудности с учебой.
Информировать деканат, профсоюзное бюро и студенческий комитет факультета о студентах, нуждающихся в материальной помощи.
Своевременно доводить до сведения студентов учебной группы информацию о студенческих мероприятиях, проводимых на факультете (институте/академии) и в Университете.
В сроки и по форме, установленными деканатом отчитываться о проделанной работе.
"
Как я могу оформить пропуск? Как восстановить пропуск/студенческий /зачетку? ,"Допуск обучающихся и сотрудников РУДН в учебно-административные корпуса Университета осуществляется строго по электронным пропускам.
Пропуск будет Вам выдан деканатом/дирекцией ОУП через 12 рабочих дней с момента выхода приказа о зачислении, при условии своевременной подачи документов и наличия фотографии в Вашем личном деле. В остальных случаях для получения пропуска необходимо обратиться в кабинет № 20 корпуса ЕГФ (ул. Миклухо-Маклая, д.10, к.2).
Для восстановления утерянного пропуска необходимо:

оплатить изготовление нового пропуска в Бюро пропусков главного корпуса РУДН;
обратиться в кабинет № 20 корпуса ЕГФ с оплаченной квитанции об оплате для изготовления нового пропуска.

Для восстановления студенческого билета и зачетной книжки необходимо:

при утере:


Написать заявление о потере на имя декана/директора ОУП.
После получения визы декана/директора ОУП отнести заявление гражданам РФ в кабинет № 5, иностранным гражданам в кабинет № 8 Коммерческого управления (КУ) для получения счёта на оплату изготовления утерянных/испорченных документов.
После произведения оплаты необходимо обратиться в Управление учета студенческих кадров (УУСК) — студентам из РФ или СНГ в каб. 223 главного корпуса РУДН, иностранным студентам в 227. С графиком приема посетителей можно ознакомиться на сайте РУДН (https://www.rudn.ru/?pagec=2703). С собой необходимо иметь:

— квитанцию об оплате,
— фотографию 3×4
— заявление с подписью декана/директора.
Изготовление обычно занимает 1 день.

в случае кражи:


Написать заявление о краже на имя декана/директора ОУП.
Написать заявление о краже в милицию.
После получения визы декана/директора ОУП на заявлении и ксерокопии справки из милиции необходимо обратиться в Управление учета студенческих кадров (УУСК) — студентам из РФ или СНГ в каб. 223 главного корпуса РУДН, иностранным студентам в 227. С графиком приема посетителей можно ознакомиться на сайте РУДН (https://www.rudn.ru/?pagec=2703). С собой необходимо иметь:

— ксерокопию справки из милиции
— фотографию 3×4
— заявление об утере с подписью декана/директора.
Изготовление обычно занимает 1 день.

в случае, если студенческий билет пришел в непригодный вид, но от него хоть что-то осталось (погрызла собака / случайно постирали в стиральной машине):

Написать заявление на имя декана/директора ОУП о том, что студенческий билет пришел в непригодность. После получения визы декана/директора отнести заявление и фотографию 3×4 в УУСК — студентам из РФ или СНГ в каб. 223, иностранным студентам в 227. Изготовление обычно занимает 1 день, для получения нового документа нужно сдать старый. 

При смене ФИО:

Написать соответственно заявление декану/директору о смене ФИО, относите заявление с визой + фотографию + ксерокопию свидетельства о браке в кабинеты 223 / 227. Изготовление обычно занимает 1 день, для получения нового документа нужно сдать старый."
"Где я могу взять справку, подтверждающую мое обучение в РУДН? ","По всем этим вопросам Вы можете обратиться в Управление учета студенческих кадров (УУСК), который находится в главном корпусе РУДН по адресу: г. Москва, ул. Миклухо-Маклая, д. 6. С графиком приема посетителей можно ознакомиться на сайте РУДН.
Иностранным студентам необходимо обращаться в каб. 227, студентам РФ в каб. 223. Также студенты РУДН могут записаться в электронную очередь или заказать дубликат документов онлайн, через портал ЕИС (https://portal.pfur.ru). Вам придет письмо уведомление (на корпоративную почту) о готовности Вашей справки с указанным временем Вашей очереди для получения оригинала (дата, время и кабинет).
"
Где и как я могу оформить социальную карту?,"Для иностранных граждан подача документов на оформление карты осуществлялась только в МФЦ «Мои документы». Иностранным студентам перед подачей заявления в центр «Мои документы» в обязательном порядке необходимо проверить есть ли сведения о нем в едином Реестре студентов. Для этого переходим на сайт soccard.ru и в открывшейся форме вносим все данные о себе: РУДН (Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов» [РУДН, Российский университет дружбы народов, ФГАОУ ВО РУДН, ФГАОУ ВО «Российский университет дружбы народов»]), ФИО, дата рождения, пол, проверочное задание (я не робот). Если Вас нет в реестре, то Вам необходимо обратиться в администрацию Вашего ОУП.
Для оформления социальный карты необходимо при себе иметь: паспорт, нотариально заверенный перевод паспорта, студенческий билет, фотография (необязательно, можно сделать непосредственно в МФЦ). Для оформления социальной карты Вы можете обращаться в любой МФЦ вне зависимости от места жительства.
Для граждан РФ подача заявления на социальную карту происходит онлайн, через Госуслуги (https://www.mos.ru/pgu/ru/services/link/652). Для подачи заявления необходимо пройти обязательную регистрацию и указать ряд документов: паспорт, полис ОМС, СНИЛС, а также указать личные и контактные данные. Карту можно получить в ближайшем к Вам МФЦ (предварительно выбрав его при оформлении), предоставив документ, удостоверяющий личность. Информация о готовности карты будет доступна в Вашем личном кабинете портала Госуслуг.
При утере карты или ее механического повреждения необходимо немедленно обратиться в обслуживающий банк. Он заблокирует возможность денежного расчета по карте (срок временной блокировки — 3 дня). После этого на портале Госуслуг (pgu.mos.ru) следует подать заявления на перевыпуск карты.
"
Что такое Корпоративная почта? Зачем она нужна? Как туда войти?,"Корпоративной электронной почтой РУДН (далее — корпоративная почта) являются почтовые сервисы, функционирующие в доменных зонах rudn.ru, pfur.ru, rudn.university на основе сервиса Office 365, принадлежащих и администрируемых РУДН.
Корпоративная почта предназначена для своевременного информирования и уведомления работников и обучающихся РУДН посредством рассылки электронных почтовых сообщений.
В соответствии с п.7 «Правил пользования сервисом Office 365 для обучающихся РУДН» (приложение 2 к приказу Ректора № 551 от 17 сентября 2015 года «Об использовании корпоративной электронной почты») обучающийся обязан регулярно, не реже 1 раза в 3 календарных дня, заходить в свой профиль в облачном сервисе Office 365 для РУДН и осуществлять следующие действия:

Читать входящие электронные письма, в т.ч. вложения, без исключения;
Отвечать на входящие электронные письма, требующие ответа в сроки, указанные в данных письмах.
Исполнять указания, изложенные во входящих электронных письмах.
Знакомиться с событиями и мероприятиями, указанными в календаре (календарях).""

Выдача учетных данных производится ответственными за выдачу учетных данных пользователей корпоративного сервиса Office 365 на факультетах, учебных институтах."
"Я учусь в РУДН на контракте, какие существуют особенности такого обучения? За что берут пени и как они начисляются? Как оформить рассрочку? Как разбить оплату? За что можно получить скидку на обучение? ","Вся необходимая информация о контрактном обучении указана в Памятке абитуриента — 2017, заключающего договор на обучение.
Согласно Положению о предоставлении скидок и иных формах поддержки обучающихся в РУДН (Приказ Ректора№ 289 от 17.04.2017г.), студент-контрактник может получить скидку из-за ряда факторов:

отличное обучение за более чем 4 семестра,
студенту являющимся победителем или призером всероссийских, ведомственных или региональных олимпиад, конкурсов в течение 2 лет,
за активное участие в жизни Университета в течение 2 лет и оценки не ниже «хорошо»,
за спортивную деятельность в Университете в течение 2 лет,
в случае существенного ухудшение материального положения (подробнее можно ознакомиться в Положение о предоставлении скидок и иных формах поддержки обучающихся в РУДН).

Пени представляют собой предусмотренную договором на обучение денежную сумму, которую обучающийся обязан уплатить Университету в случае неисполнения или ненадлежащего исполнения своих обязательств по оплате обучения в порядке, установленном договором на обучение. Вопрос об уменьшении (отмене, рассрочки) размера пени принимается Комиссией по социальной поддержке обучающихся и работников РУДН.
Порядок предоставления скидок и иных форм поддержки обучающихся РУДН осуществляется на основании Регламента (Приложение № 1) к Положению о предоставлении скидок и иных формах поддержки обучающихся в РУДН.
В качестве причин, дающих право на отсрочку (рассрочку) по оплате обучения, является существенное ухудшение материального положение обучающегося/заказчика/ организации (далее — плательщик), в том числе, непредвиденные, неизбежные расходы в крупных размерах, подтвержденные соответствующими документами:
Для плательщика — физического лица:

расходы на лечение (операция, лекарства и т.д.) для себя либо членов семьи;
расходы на похороны близких родственников;
задержка заработной платы плательщика либо членам его семьи за последние 2 месяца;
потеря работы кем-то из членов семьи;
другие форс-мажорные обстоятельства.

Для плательщика — юридического лица:

причинение юридическому лицу ущерба в результате стихийного бедствия, технологической катастрофы или иных обстоятельств непреодолимой силы.

Отсрочка (рассрочка) по оплате обучения предоставляется в соответствии с решением Комиссии по социальной поддержке обучающихся и работников РУДН в порядке, предусмотренном Регламентом о порядке предоставления скидок и иных форм поддержки обучающихся РУДН (п.6 Положения о предоставлении скидок и иных формах поддержки обучающихся в РУДН и Приложение № 1 к Положению).
"
"Если в середине моего обучения (я контрактник) в моей семье резко ухудшилось материальное положение вследствие: смерти одного родителя, потери работы членами семьи, лишения свободы одного или двух родителей, предусмотрены ли в РУДН льготы для студентов с такими семейными сложностями?","Решение о предоставлении указанной скидки и её размере принимается Комиссией по социальной поддержке обучающихся и работников РУДН с учетом документов, подтверждающих существенное ухудшение материального положения.
Категории обучающихся, имеющих право на получение скидок по оплате обучения и порядок предоставления скидок регламентируются Положением о предоставлении скидок и иных формах поддержки обучающихся РУДН.
Отсрочка (рассрочка) по оплате обучения предоставляется в соответствии с решением Комиссии по социальной поддержке обучающихся и работников РУДН в порядке, предусмотренном Регламентом о порядке предоставления скидок и иных форм поддержки обучающихся РУДН (п.6 Положения о предоставлении скидок и иных формах поддержки обучающихся в РУДН и Приложение № 1 к Положению).
"
"Я гражданин РФ. Являясь студентом РУДН, должен ли я прикрепляться к КДЦ? ","Клинико-диагностический центр медицинского института РУДН (далее КДЦ МИ РУДН) оказывает медицинские услуги лицам, достигшим совершеннолетия (18 лет). Вы можете, но не обязаны прикрепляться к КДЦ МИ РУДН.
Напоминаем Вам, что согласно Правилам внутреннего распорядка обучающихся в РУДН при отсутствии на занятиях в случае болезни, справка, выданная сторонним медицинским учреждением, подлежит заверению КДЦ МИ РУДН не позднее 7 дней после выздоровления. Справку необходимо представить в учебную часть Вашего основного учебного подразделения.
"
