Question,Answer
Как возобновить подписку на спорт,"['', '\nЧтобы возобновить спортивную подписку, оформленную на сайте premier.one или в приложении PREMIER на Smart TV, перейдите в раздел «Мои подписки». Выберите нужную подписку и нажмите кнопку «Возобновить подписку».\nЕсли подписка оформлялась на сайте matchtv.ru или в мобильном приложении «МАТЧ!», возобновить её нужно там же.\nЕсли хотите управлять подписками на МАТЧ ПРЕМЬЕР и пакет «СПОРТ» здесь, оформите их на PREMIER.', '\n']"
Как зарегистрироваться,"['', '\nДля регистрации и авторизации в сервисе PREMIER заводится единый аккаунт, который можно создать на сайте, в мобильном приложении на iOS и Android или в приложении на Smart TV, Apple TV или Android TV.', '\nСайт\nНа сайте  premier.one  нажмите «Войти» в правом верхнем углу или запустите любое понравившееся видео. На всплывающем экране введите номер телефона и подтвердите его кодом из СМС — ваш аккаунт будет создан автоматически.', '\niOS\nНаше приложение удалили из App Store. Если у вас его не было – скачать уже не получится. Смотрите нас на сайте premier.one, Smart TV или Android. Если приложение установлено – на вас это не повлияет, всё работает, как прежде. Чтобы зарегистрироваться, войдите в раздел Профиль или запустите любое понравившееся видео. Затем нажмите «Войти». На всплывающем экране введите номер телефона и подтвердите его кодом из СМС — ваш аккаунт будет создан автоматически.', '\nAndroid\nСкачайте мобильное приложение PREMIER в Google Play, HUAWEI AppGallery или ruStore.  Войдите в раздел Профиль или запустите любое понравившееся видео. Затем нажмите «Войти». На всплывающем экране введите номер телефона и подтвердите его кодом из СМС — ваш аккаунт будет создан автоматически.', '\nSmart TV и приставки\nСкачайте приложение PREMIER через магазин приложений вашего телевизора:', 'Samsung — Samsung Apps\nLG — LG Content Store\nAndroid TV (Philips OLED, Sharp AQUOS, Sony BRAVIA, Mi Box, NVIDIA SHIELD) — Google Play', 'В приложении нажмите на кнопку пользовательского меню в правом верхнем углу/войдите в раздел Профиль или запустите любое понравившееся видео. Затем нажмите «Войти» → «Войти по номеру телефона». На всплывающем экране введите номер телефона и подтвердите его кодом из СМС — ваш аккаунт будет создан автоматически.', '', '\n']"
Зачем нужно входить в аккаунт,"['', 'Только зарегистрированные и авторизованные пользователи могут оформить подписку и смотреть шоу, сериалы, фильмы и трансляции ТВ-каналов. Зарегистрируйтесь на сервисе, оформите подписку и авторизуйтесь под своим аккаунтом на сайте, в мобильном приложении или в приложении на Smart TV, Apple TV или Android TV.', '']"
Как изменить телефон для входа,"['', 'Если у вас изменился номер телефона, а подписка была оформлена на старый — напишите нам на help@premier.one.', '']"
Как работают рекомендации на сервисе,"['', '\nКак работает система рекомендаций PREMIER для новых пользователей\nЕсли вы пользуетесь аккаунтом PREMIER, мы анализируем, что вы смотрите, и предлагаем вам подборку «Вам понравится» на главной странице на основе ваших предпочтений.\nАлгоритм учитывает:', 'жанр и год выхода фильма, сериала или шоу,\nтематику, например фильмы о космосе,\nактёров и режиссёров,\nвозрастную маркировку.', 'Чтобы ваша первая подборка была более точной, предлагаем настроить рекомендации: для этого выберите несколько фильмов, сериалов или шоу, которые вам нравятся, — они сохранятся в разделе «Избранное». Если рекомендации не настраивать или выбрать фильмы наугад, мы всё равно предложим подборку, но она будет менее персонализированной.\nКак мы улучшаем систему рекомендаций\nМы постоянно обновляем данные о том, что вы смотрите на сервисе, а наши алгоритмы круглосуточно обучаются, чтобы более точно предсказывать, что может вам понравиться. Помните про общее правило: чем больше вы смотрите, тем точнее ваша подборка.', '\n']"
Как активировать промокод,"['', '\nНа сайте', 'Зарегистрируйтесь на сайте premier.one. \nВойдите в Личный кабинет → Активировать промокод. \nВведите промокод в поле и нажмите кнопку «Активировать».', 'На ТВ и приставке\nВойдите в свой профиль в приложении → выберите раздел «Промокод» → введите промокод и нажмите «Активировать».\nИнструкцию по активации промокодов смотрите здесь:  premier.one/info/tntp/promocode. ', '\n']"
На какие подписки действует промокод,"['', '\nПромокод действует на все подписки PREMIER, включая спортивные.', '\n']"
Не получается активировать промокод,"['', '\nЕсли вы видите текст возможно, указанный промокод не существует — проверьте, правильно ли введены все символы промокода и повторите попытку.\nЕсли вы видите текст возможно, промокод был активирован ранее — значит, этот промокод активировать больше не получится.\nПри наличии активной подписки активировать промокод невозможно.\nЕсли думаете, что это ошибка, пишите нам на help@premier.one.', '\n']"
Как подключить подписку PREMIER,"['', '\nНа сайте', 'Откройте\xa0premier.one. \nЗарегистрируйтесь или войдите в аккаунт.\nПерейдите в «Мои подписки».\nВыберите подписку PREMIER и нажмите кнопку «Смотреть».\nВ открывшейся форме введите номер карты, срок действия и CVC/CVV-код.\nПодтвердите оплату картой, введя код из СМС в форму.\nГотово. Можете смотреть любимые фильмы и сериалы!', 'На ТВ и приставке\nПодробности — в пункте  «Как подключить PREMIER на телевизоре или приставке» ', '\n']"
Как смотреть PREMIER всей семьёй по одной подписке,"['', '\nУ вас есть один аккаунт, к которому можно привязать до пяти профилей — для себя, второй половины, детей. В каждом будет своя история просмотров, рекомендации и избранное. Чтобы создать детский профиль, просто укажите возраст ребёнка, и он будет смотреть, что ему подходит. Любой профиль можно защитить ПИН-кодом.\nОбратите внимание: один аккаунт позволяет пользоваться онлайн-кинотеатром только на двух устройствах одновременно. Даже с разных профилей. То есть если вы включили кино на смартфоне и ноутбуке, начать просмотр ещё и на телевизоре не получится.', '\n']"
Как настроить основной профиль,"['', '\nНа сайте', 'Откройте\xa0premier.one. \nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на значок своего профиля в правом верхнем углу.\nВведите никнейм и выберите аватар.\nЕсли нужно, создайте пин-код. Для этого включите опцию «Вход по пин-коду», придумайте 4-значный код и нажмите «Сохранить».\nГотово. Этот профиль будет основным — из него можно будет управлять всеми остальными профилями.', 'В приложении на iOS/Android', 'Откройте мобильное приложение PREMIER на вашем мобильном устройстве.\nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на значок профиля, потом на карандаш в правом верхнем углу.\nВыберите уже существующий профиль.\nВведите никнейм, выберите аватар и нажмите «Сохранить».\nГотово. Этот профиль будет основным — из него можно будет управлять всеми остальными профилями.', 'На Smart TV', 'Скачайте приложение PREMIER в сторе своего телевизора.\nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на значок профиля в правом верхнем углу.\nВыберите уже существующий профиль.\nВведите никнейм и нажмите «Далее».\nВыберите аватар и нажмите «Далее».\nНажмите «Создать».\nГотово. Этот профиль будет основным — из него можно будет управлять всеми остальными профилями.', '\n']"
Как создать дополнительный или детский профиль,"['', '\nНа сайте', 'Откройте\xa0premier.one. \nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на значок своего профиля в правом верхнем углу.\nВ верхней части экрана нажмите «Добавить».\nВведите никнейм, выберите аватар и укажите возрастную категорию пользователя. Чтобы создать детский — укажите 0+ или 12+.\nНажмите «Сохранить».\nЧтобы ребёнок не переключился на взрослый профиль, создайте пин-код для всех взрослых профилей. Как это сделать, смотрите в пункте  «Как создать, изменить и отключить пин-код от профиля». ', 'В приложении Android/iOS', 'Откройте мобильное приложение PREMIER на вашем мобильном устройстве.\nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на свой профиль, потом «Добавить» вверху.\nВведите никнейм, выберите аватар и укажите возрастную категорию пользователя. Чтобы создать детский — укажите 0+ или 12+.\nНажмите «Создать».\nЧтобы ребёнок не переключился на взрослый профиль, создайте пин-код для всех взрослых профилей. Как это сделать, смотрите в пункте  «Как создать, изменить и отключить пин-код от профиля». ', 'На Apple TV', 'Откройте приложение PREMIER на вашем телевизоре.\nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на значок своего профиля в правом верхнем углу.\nВыберите «Сменить профиль».\nНажмите «Добавить».\nВведите никнейм и нажмите «Далее».\nВыберите аватар и укажите возрастную категорию пользователя. Чтобы создать детский профиль — укажите 0+ или 12+.\nНажмите «Создать».', 'На Android TV', 'Скачайте приложение PREMIER в Google Play со своего телевизора.\nЗарегистрируйтесь или войдите в аккаунт.\nОткройте левое боковое меню и нажмите на значок своего профиля.\nВыберите «Сменить профиль».\nПодтвердите выход из профиля.\nНажмите «Добавить».\nВведите никнейм и нажмите «Далее».\nВыберите аватар и укажите возрастную категорию пользователя. Чтобы создать детский профиль — укажите 0+ или 12+.\nНажмите «Создать».', '\n']"
"Как создать, изменить и отключить пин-код от профиля","['', '\nСоздавать, изменять и отключать пин-код можно только на сайте premier.one и в мобильном приложении PREMIER и только из основного профиля.\nНа сайте', 'Откройте\xa0premier.one. \nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на значок своего профиля в правом верхнем углу.\nВ верхней части экрана выберите профиль, который хотите защитить пин-кодом.\nВключите опцию «Вход по пин-коду», придумайте 4-значный код и нажмите «Сохранить».\nЕсли нужно изменить пин-код, нажмите «Изменить пин-код». В открывшемся окне придумайте новый 4-значный код и нажмите «Сохранить».\nЧтобы отключить пин-код, выключите опцию «Вход по пин-коду».\nЧтобы восстановить забытый пин-код, выключите и снова включите опцию «Вход по пин-коду», придумайте новый 4-значный код и нажмите «Сохранить».', 'В приложении Android/iOS', 'Откройте мобильное приложение PREMIER на вашем мобильном устройстве.\nЗарегистрируйтесь или войдите в аккаунт.\nНажмите на свой профиль, потом на значок карандаша в правом верхнем углу.\nВыберите профиль, который хотите защитить пин-кодом.\nВключите опцию «Вход по пин-коду», придумайте 4-значный код и нажми «Сохранить».\nЕсли нужно изменить или восстановить забытый пин-код, выключите и снова включите опцию «Вход по пин-коду», придумайте новый 4-значный код и нажмите «Сохранить».\nЧтобы отключить пин-код, выключите опцию «Вход по пин-коду».', '', '']"
Какими картами можно оплатить подписку,"['', 'Подписку можно оплатить на территории РФ с помощью российских банковских МИР, Visa, Mastercard, Maestro. Транзакции зашифрованы и полностью безопасны.', '']"
Когда с моей карты снимут деньги за подписку,"['', '\nДеньги спишутся за 1 день до окончания подписки.\nДоступно 4 варианта продления: на 1, 3, 6 и 12 месяцев — чем больше срок, тем выгоднее. Подписка продлевается автоматически на выбранный срок. Дату, до которой действует текущая подписка, смотрите в профиле в разделе «Мои подписки».\nОтмена автопродления не отменит текущую подписку.', '\n']"
Как отключить подписку PREMIER,"['', '', '\nНа сайте\nОтключить автопродление подписки можно в любой момент, но не позднее чем за 24 часа до истечения срока действия подписки. Чтобы отключить автоматическое продление подписки, перейдите в «Мои подписки».', '\nВ приложении на Android\nЧтобы отключить подписку на Android, воспользуйтесь\xa0инструкцией на сайте техподдержки Google.', '\nНа телевизоре или приставке\nОтключить автопродление подписки можно в любой момент, но не позднее чем за 24 часа до истечения срока действия подписки. Чтобы отключить автоматическое продление подписки, перейдите в раздел «Мои подписки».', '', '\n']"
Как возобновить подписку PREMIER,"['', '\nПосле отключения автопродления подписку можно возобновить.\nЧтобы возобновить подписку PREMIER, перейдите в «Мои подписки», выберите подписку PREMIER и нажмите кнопку «Возобновить подписку».', '\n']"
На каких устройствах можно смотреть фильмы и сериалы в PREMIER,"['', '\nPREMIER доступен через браузер на компьютерах, ноутбуках и мобильных устройствах. Через приложение — на смартфонах, планшетах, телевизорах и приставках Аndroid TV.\nПриложение PREMIER недоступно на Smart TV Samsung на Украине, в Бразилии и Китае.', '\n']"
Каким требованиям должны отвечать устройства,"['', '\nПриложения', 'на iOS (iPhone и iPad) — версия ПО 11.0 и выше\nна Android — версия ПО 7.0 и выше (приложение доступно в Google Play, HUAWEI AppGallery и ruStore. ', 'Телевизоры', 'Smart TV Samsung (Tizen OS) — с 2015 года выпуска;\nSmart TV LG (webOS) — c 2014 года выпуска;\nSmartTV Hisense (Vidaa OS) —\xa0с 2018 по 2020 год выпуска;\nSmartTV Philips (Whale Eco) - c 2019 по 2020 год выпуска;\nApple TV — версия ПО 10.0 и выше;\nAndroid TV — версия ПО 7.0 и выше.', '', '']"
Моей модели ТВ нет в списке,"['', '\nЕсли ваша модель телевизора не поддерживает приложение PREMIER для Smart TV, попробуйте следующие варианты:', 'Подключите приставку для IPTV. Уточните у своего провайдера цифрового ТВ, как можно смотреть PREMIER.\nСоедините телевизор с компьютером или ноутбуком через HDMI-кабель, чтобы использовать ТВ как монитор и просто запускайте просмотр на сайте premier.one.', '\n']"
Как подключить PREMIER на телевизоре или приставке,"['', '\nВы можете войти или зарегистрироваться по номеру телефона в приложении на Smart TV, Apple TV или Android TV. Для этого:\nСкачайте приложение PREMIER через магазин приложений вашего телевизора:', 'Samsung — Samsung Apps\nLG — LG Content Store\nAndroid TV (Philips OLED, Sharp AQUOS, Sony BRAVIA, Mi Box, NVIDIA SHIELD) — Google Play', 'В приложении нажмите на кнопку пользовательского меню в правом верхнем углу/войдите в раздел Профиль или запустите любое понравившееся видео. Затем нажмите «Войти» → «Войти по номеру телефона». На всплывающем экране введите номер телефона и подтвердите его кодом из СМС. Вы войдете в аккаунт или, если его не было, он будет создан автоматически.\nЧтобы оформить подписку:', 'В правом верхнем углу нажмите на значок профиля → «Мои подписки».\nВыберите подписку PREMIER.\nВ открывшейся форме введите номер карты, срок действия и CVC/CVV-код.\nПодтвердите оплату картой, введя код из СМС в форму.\nГотово. Наслаждайтесь любимыми фильмами и сериалами!', 'Либо вы можете зарегистрироваться на сайте premier.one, в мобильном приложении PREMIER или войти в уже созданный аккаунт, а затем через код авторизоваться на телевизоре. Ниже инструкция, как это сделать:\nШаг 1: Авторизация\nЧтобы получить доступ к сервису, нужно:', '\nСкачать приложение для своего мобильного устройства или зайти на сайт premier.one ', 'Нажать в приложении на кнопку «Профиль» → «Войти» или на сайте кнопку  Войти . \nВвести номер телефона и пароль', 'Шаг 2: Установка приложения на Smart TV или Android TV\nСкачайте приложение PREMIER через магазин приложений своего телевизора:', 'Samsung — Samsung Apps\nLG — LG Content Store\nAndroid TV (Philips OLED, Sharp AQUOS, Sony BRAVIA, Mi Box, NVIDIA SHIELD) — Google Play', 'Шаг 3: Активация приложения', '\nНа Smart TV\nПосле установки приложения на Smart TV его нужно активировать. Перейдите в «Профиль», далее кнопка «Войти». На экране появится шестизначный код. Он потребуется на 4-м шаге.', '', '\nНа Android TV\nПосле установки приложения на Android TV его нужно активировать. Перейдите в «Профиль», в разделе «Подключить ТВ» появится шестизначный код. Он потребуется на 4-м шаге.', '', '\nШаг 4: Авторизация на Smart TV или Android TV\nДля авторизации на Smart TV воспользуйтесь мобильным приложением PREMIER для iOS или Android или сайтом premier.one. ', '\nКак активировать приложение на мобильном устройстве iOS и Android', 'Выполните\xa0шаг 1. \nОткройте приложение PREMIER.\nПерейдите в раздел «Профиль» в нижнем меню.\nВыберите пункт «Подключить ТВ».\nВведите в приложении код из 6 цифр, указанный на вашем телевизоре.', '\nКак активировать приложение на сайте', 'Выполните\xa0шаг 1. \nПерейдите на premier.one. \nНажмите на «Профиль» в правом верхнем углу экрана.\nВыберите пункт «Подключить ТВ» в выпадающем списке.\nВведите в приложении код из 6 цифр, указанный на вашем телевизоре.', '', '\n']"
Видео загружается медленно или в плохом качестве,"['', '\nСкорость загрузки видео напрямую зависит от скорости интернета. Если видео часто прерывается, то скорости интернета недостаточно. Закройте все сторонние приложения, которые могут использовать интернет, и остановите загрузки, если они есть.\nДля просмотра видео в минимальном качестве нужен интернет со скоростью не менее 2 Мбит/c. Если скорость вашего интернета 2 Мбит/c, нужно учитывать, что другие приложения на устройстве тоже используют интернет, а это уменьшает скорость.\nДля просмотра видео в хорошем качестве рекомендуем стабильный интернет со скоростью минимум 15 Мбит/c.\nЧтобы проверить скорость интернета на вашем Smart TV, перейдите в профиль → Настройки → Обратная связь → нажми кнопку «Тест скорости» в правом нижнем углу.', '', '']"
На iOS не запускается приложение или видео в приложении,"['', 'Войдите в аккаунт ещё раз, заново введите телефон и пароль.', '']"
На Android не запускается приложение или видео в приложении,"['', '\nПопробуйте очистить кэш:', 'Откройте «Настройки» (вы найдёте меню настроек на домашнем экране или панели приложений).\nПрокрутите вниз и нажми «Приложения» (откроется список всех установленных приложений).\nНажмите «PREMIER» (отобразится информация о приложении).\nНажмите «Хранилище» (это первая опция меню).\nНажмите «Очистить кэш» (кэш приложения PREMIER очистится, настройки приложения сбросятся).', 'Попробуйте переустановить приложение:', 'Удалите приложение и скачайте его заново из  Google Play, HUAWEI AppGallery и ruStore. \nВойдите в аккаунт ещё раз, заново введите телефон и пароль. Помните, что простой перезапуск приложения не поможет.', '\n']"
Проблемы при запуске приложения или видео на телевизорах или в приставках,"['', 'Проверьте соединение ТВ с интернетом.\nОбновите прошивку ТВ до последней версии.\nУдалите приложение из памяти устройства и скачай его заново из магазина приложений.\nЗаново войдите в аккаунт на том устройстве, где вводите код, который отображается на телевизоре. Заново введите логин (номер телефона) и пароль.\nОтключите ТВ от питания на несколько минут, после этого переустановите приложение.', '']"
Проблемы при просмотре видео на сайте premier.one на компьютере,"['', '\nОбновите браузер до последней версии.\nОчистите cookies и кэш для сайта\xa0premier.one в\xa0настройках браузера.', '\n']"
Нет ответа на мой вопрос,"['', 'Пишите нам на help@premier.one — поможем.', '']"
